08-07-2022 11:26:49 : INFO : AdvGEOPHIRESv3 : main : 23 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init __main__
08-07-2022 11:26:49 : INFO : Model : __init__ : 32 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Model.Model'>: __init__
08-07-2022 11:26:49 : INFO : Model : __init__ : 42 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Initiate the elements of the Model
08-07-2022 11:26:49 : INFO : Reservoir : __init__ : 26 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Reservoir.Reservoir'>: __init__
08-07-2022 11:26:49 : INFO : Reservoir : __init__ : 70 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'Reservoir.Reservoir'>: __init__
08-07-2022 11:26:49 : INFO : WellBores : __init__ : 20 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'WellBores.WellBores'>: __init__
08-07-2022 11:26:49 : INFO : WellBores : __init__ : 72 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'WellBores.WellBores'>: __init__
08-07-2022 11:26:49 : INFO : SurfacePlant : __init__ : 22 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'SurfacePlant.SurfacePlant'>: __init__
08-07-2022 11:26:49 : INFO : SurfacePlant : __init__ : 66 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'SurfacePlant.SurfacePlant'>: __init__
08-07-2022 11:26:49 : INFO : Economics : __init__ : 25 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Economics.Economics'>: __init__
08-07-2022 11:26:49 : INFO : Economics : __init__ : 95 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'Economics.Economics'>: __init__
08-07-2022 11:26:49 : INFO : Outputs : __init__ : 25 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Outputs.Outputs'>: __init__
08-07-2022 11:26:49 : INFO : Outputs : __init__ : 31 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'Outputs.Outputs'>: __init__
08-07-2022 11:26:49 : INFO : Model : __init__ : 49 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'Model.Model'>: __init__
08-07-2022 11:26:49 : INFO : AdvModel : __init__ : 32 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Initiate the newer elements of the Model
08-07-2022 11:26:49 : INFO : ImpermeableReservoir : __init__ : 24 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'ImpermeableReservoir.ImpermeableReservoir'>: __init__
08-07-2022 11:26:49 : INFO : Reservoir : __init__ : 26 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Reservoir.Reservoir'>: __init__
08-07-2022 11:26:49 : INFO : Reservoir : __init__ : 70 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'Reservoir.Reservoir'>: __init__
08-07-2022 11:26:49 : INFO : ImpermeableReservoir : __init__ : 38 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'ImpermeableReservoir.ImpermeableReservoir'>: __init__
08-07-2022 11:26:49 : INFO : EconomicsAddOns : __init__ : 24 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'EconomicsAddOns.EconomicsAddOns'>: __init__
08-07-2022 11:26:49 : INFO : Economics : __init__ : 25 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Economics.Economics'>: __init__
08-07-2022 11:26:49 : INFO : Economics : __init__ : 95 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'Economics.Economics'>: __init__
08-07-2022 11:26:49 : INFO : EconomicsAddOns : __init__ : 85 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'EconomicsAddOns.EconomicsAddOns'>: __init__
08-07-2022 11:26:49 : INFO : EconomicsCCUS : __init__ : 23 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'EconomicsCCUS.EconomicsCCUS'>: __init__
08-07-2022 11:26:49 : INFO : Economics : __init__ : 25 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Economics.Economics'>: __init__
08-07-2022 11:26:49 : INFO : Economics : __init__ : 95 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'Economics.Economics'>: __init__
08-07-2022 11:26:49 : INFO : EconomicsCCUS : __init__ : 69 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'EconomicsCCUS.EconomicsCCUS'>: __init__
08-07-2022 11:26:49 : INFO : Outputs : __init__ : 25 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Outputs.Outputs'>: __init__
08-07-2022 11:26:49 : INFO : Outputs : __init__ : 31 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'Outputs.Outputs'>: __init__
08-07-2022 11:26:49 : INFO : Outputs : __init__ : 25 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Outputs.Outputs'>: __init__
08-07-2022 11:26:49 : INFO : Outputs : __init__ : 31 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'Outputs.Outputs'>: __init__
08-07-2022 11:26:49 : INFO : AdvModel : __init__ : 39 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete <class 'AdvModel.AdvModel'>: __init__
08-07-2022 11:26:49 : INFO : AdvModel : read_parameters : 49 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'AdvModel.AdvModel'>: read_parameters
08-07-2022 11:26:49 : INFO : Model : read_parameters : 62 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Model.Model'>: read_parameters
08-07-2022 11:26:49 : INFO : GeoPHIRESUtils : read_input_file : 7 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init GeoPHIRESUtils
08-07-2022 11:26:49 : INFO : GeoPHIRESUtils : read_input_file : 16 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Found filename: examples\example1.txt Proceeding with run using input parameters from that file
08-07-2022 11:26:49 : INFO : GeoPHIRESUtils : read_input_file : 54 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Complete GeoPHIRESUtils: read_input_file
08-07-2022 11:26:49 : INFO : Model : read_parameters : 70 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Read parameters for the elements of the Model
08-07-2022 11:26:49 : INFO : ImpermeableReservoir : read_parameters : 49 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'ImpermeableReservoir.ImpermeableReservoir'>: read_parameters
08-07-2022 11:26:49 : INFO : Reservoir : read_parameters : 86 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): Init <class 'Reservoir.Reservoir'>: read_parameters
08-07-2022 11:26:49 : INFO : ImpermeableReservoir : read_parameters : 68 : (Process Details : (11964, MainProcess), Thread Details : (12060, MainThread)): complete <class 'ImpermeableReservoir.ImpermeableReservoir'>: read_parameters
